data,epoch,f1,precision,recall
TRAIN,1,64.33,61.92,66.95
EVAL,1,78.30,68.15,92.00
TRAIN,2,80.27,76.59,84.31
EVAL,2,74.29,62.76,91.00
TRAIN,3,83.63,82.16,85.15
EVAL,3,74.44,67.48,83.00
TRAIN,4,90.36,88.89,91.88
EVAL,4,75.38,75.76,75.00
TRAIN,5,92.79,90.21,95.52
EVAL,5,74.74,78.89,71.00
TRAIN,6,94.04,93.13,94.96
EVAL,6,74.37,74.75,74.00
TRAIN,7,97.08,96.41,97.76
EVAL,7,77.67,75.47,80.00
TRAIN,8,99.02,98.88,99.16
EVAL,8,72.73,78.16,68.00
TRAIN,9,99.30,99.16,99.44
EVAL,9,70.97,76.74,66.00
TRAIN,10,99.58,99.44,99.72
EVAL,10,70.21,75.00,66.00
TRAIN,11,99.86,99.72,100.00
EVAL,11,74.37,74.75,74.00
TRAIN,12,99.86,99.72,100.00
EVAL,12,75.86,74.76,77.00
TRAIN,13,99.86,99.72,100.00
EVAL,13,75.86,74.76,77.00
TRAIN,14,99.86,99.72,100.00
EVAL,14,75.86,74.76,77.00
TRAIN,15,99.86,99.72,100.00
EVAL,15,75.86,74.76,77.00
TRAIN,16,99.86,99.72,100.00
EVAL,16,75.25,74.51,76.00
TRAIN,17,99.86,99.72,100.00
EVAL,17,75.86,74.76,77.00
TRAIN,18,99.86,99.72,100.00
EVAL,18,75.86,74.76,77.00
TRAIN,19,99.86,99.72,100.00
EVAL,19,75.86,74.76,77.00
TRAIN,20,99.86,99.72,100.00
EVAL,20,75.86,74.76,77.00
TRAIN,21,99.86,99.72,100.00
EVAL,21,75.86,74.76,77.00
TRAIN,22,99.86,99.72,100.00
EVAL,22,75.86,74.76,77.00
TRAIN,23,99.86,99.72,100.00
EVAL,23,75.86,74.76,77.00
TRAIN,24,99.86,99.72,100.00
EVAL,24,75.86,74.76,77.00
TRAIN,25,99.86,99.72,100.00
EVAL,25,75.86,74.76,77.00
TRAIN,26,99.86,99.72,100.00
EVAL,26,75.86,74.76,77.00
TRAIN,27,99.86,99.72,100.00
EVAL,27,75.86,74.76,77.00
TRAIN,28,99.86,99.72,100.00
EVAL,28,75.86,74.76,77.00
TRAIN,29,99.86,99.72,100.00
EVAL,29,75.86,74.76,77.00
TRAIN,30,99.86,99.72,100.00
EVAL,30,75.86,74.76,77.00
