id,rtyp_a,c008_form_m,c008_dat1_m,c008_dat2_m,c008_dat1_sub,c008_lang_m,c008_ctry_m,v1x0_inv,v1x0_typo,v7x0_m,v7x0_half,v245b_m,v245c_m,v245_typo,v250_m,v250_mov,v26x_ntok_m,v26x_unk,v26x_typo,v300bc_m,nb_errors,rm_score_clean,rm_score_dirty,rm_score_diff,dm_prob_clean,dm_prob_dirty,dm_score_diff
49860,,,1,,,1,,,,1,,,,,,1,,,,,4,0.8333,0.5833,0.2500,0.9794,0.1241,0.8553
49260,,,1,,,1,,,,,,,,1,1,,,,,,4,0.8082,0.5999,0.2083,0.9403,0.0860,0.8543
45949,,,1,,,,,,,,,,1,,,1,1,,,,4,0.8452,0.7083,0.1369,0.9415,0.0878,0.8537
47334,,1,1,,,1,,,,,,,,,,,,1,,1,5,0.8611,0.5833,0.2778,0.9328,0.0865,0.8462
46474,,,1,,,1,,,1,,,,,,,1,1,,,,5,0.8500,0.5833,0.2667,0.9824,0.1383,0.8441
45083,,,1,,,,1,,,,,1,,,1,,,,,,4,0.7667,0.6000,0.1667,0.8763,0.0754,0.8009
49229,,1,1,1,,1,1,1,,,,,,,,1,1,,,,8,0.9167,0.6667,0.2500,0.8819,0.1052,0.7766
48238,,,1,,,1,1,,1,,,,1,,,,,,,1,6,0.7778,0.6111,0.1667,0.9775,0.2182,0.7593
46484,,,,,,1,1,,,,,1,,,1,,1,,1,1,7,0.8750,0.5000,0.3750,0.9155,0.1575,0.7580
45642,,1,,,,,1,,,,1,,,,,,,,,,3,0.7593,0.5833,0.1759,0.8761,0.1195,0.7566
49111,,1,,,,1,,,,,,,1,,,,1,,,,4,0.8333,0.6667,0.1667,0.8973,0.1546,0.7427
46464,,1,,,,,1,,,,,,1,,,,1,,1,,5,0.8500,0.6833,0.1667,0.9380,0.2093,0.7288
46638,,1,,,,1,1,,,,,,1,,,,1,,,,5,0.8333,0.5000,0.3333,0.9088,0.1801,0.7287
49200,,1,1,,,1,1,,,,,,,,,,,,,,4,0.7917,0.5417,0.2500,0.9275,0.2496,0.6779
48561,,1,,,1,,1,,1,,,,1,,,,1,,,1,7,0.7500,0.6667,0.0833,0.9801,0.3027,0.6774
49743,,,,,1,1,1,,,,,,,,,,,,,,3,0.7500,0.5833,0.1667,0.8023,0.1249,0.6773
46191,,1,1,,,1,1,,,,,,,1,,,1,,,,6,0.8690,0.6190,0.2500,0.9360,0.2621,0.6739
45406,,1,,,1,,1,,,,,,,,1,,1,,,,5,0.7778,0.6759,0.1019,0.9233,0.2496,0.6737
46507,,1,1,,,1,1,,1,,,,,,,,1,,,1,7,0.7762,0.4151,0.3611,0.8759,0.2075,0.6684
49213,,1,,,,1,1,,,,,,,1,,,1,,,1,6,0.7667,0.5000,0.2667,0.8645,0.2032,0.6613
45213,,1,1,1,,,1,,,,,,,,,,,,,1,5,0.7500,0.5833,0.1667,0.8755,0.2226,0.6529
46453,1,1,,,,1,1,,,1,,1,,,,,,1,,1,8,0.7500,0.4286,0.3214,0.8972,0.2448,0.6524
